"dist" "year" "state" "obs" "pop_linear" "x1" "x2" "x3" "x4" "x5" "x6"
"Agra" 2001 "Uttar Pradesh" 63 786257 846 896 48.35 118.896 4.22601034792495 11.9322645117881
"Agra" 2002 "Uttar Pradesh" 50 815278 848 916 49.633 132.096 4.27801115802784 7.36467743660488
"Agra" 2003 "Uttar Pradesh" 55 844298 850 935 50.916 146.748 3.34426767306121 5.38798680659861
"Agra" 2004 "Uttar Pradesh" 70 873319 853 955 52.199 189.072 3.2522668950712 5.09955449147165
"Agra" 2005 "Uttar Pradesh" 38 902338 855 975 53.482 181.14 2.93305169235807 4.31031074790013
"Agra" 2006 "Uttar Pradesh" 63 931359 857 994 54.765 201.24 3.07519527489996 6.25039690020316
"Agra" 2007 "Uttar Pradesh" 78 960381 859 1014 56.048 224.544 3.01452116904601 5.22026836590895
"Agra" 2008 "Uttar Pradesh" 77 989400 861 1034 57.331 232.86 2.61869788731142 4.99714826202547
"Agra" 2009 "Uttar Pradesh" 83 1018421 864 1054 58.614 262.932 2.99094403378495 4.26268401665414
"Agra" 2010 "Uttar Pradesh" 80 1047441 866 1073 59.897 280.428 2.70107170214151 3.83228976543155
"Agra" 2011 "Uttar Pradesh" 87 1076462 868 1093 61.18 295.884 4.09613747814168 8.62225623851922
"Agra" 2012 "Uttar Pradesh" 88 1105483 870 1113 62.463 436.452 3.37198171587283 8.69616337251413
"Agra" 2013 "Uttar Pradesh" 98 1134503 872 1132 63.746 434.256 2.89227074350712 7.43726762616118
"Agra" 2014 "Uttar Pradesh" 87 1163524 875 1152 65.029 467.604 3.79448635551736 6.94945253875652
"Aligarh" 2001 "Uttar Pradesh" 44 628800 862 820 43.03 172.68 7.65301177761751 6.34966042684422
"Aligarh" 2002 "Uttar Pradesh" 38 652117 864 839 44.295 177.756 5.82779965203452 4.94380756998434
"Aligarh" 2003 "Uttar Pradesh" 33 675435 866 857 45.56 182.988 5.00376565440915 2.98301414012853
"Aligarh" 2004 "Uttar Pradesh" 36 698754 868 876 46.825 177.168 6.06481114869409 3.58232368368459
"Aligarh" 2005 "Uttar Pradesh" 43 722071 870 895 48.09 193.908 5.41826713349964 3.78662987170713
"Aligarh" 2006 "Uttar Pradesh" 50 745388 872 914 49.355 199.608 5.33836969808654 3.31763088581649
"Aligarh" 2007 "Uttar Pradesh" 70 768706 874 932 50.62 201.504 4.90491265414279 3.10250499207827
"Aligarh" 2008 "Uttar Pradesh" 88 792024 876 951 51.885 213 4.02370104653859 3.9658060674517
"Aligarh" 2009 "Uttar Pradesh" 83 815342 878 970 53.15 219.876 4.05540879513237 6.63612348294389
"Aligarh" 2010 "Uttar Pradesh" 95 838659 880 988 54.415 248.292 3.61184953368244 6.89029757194804
"Aligarh" 2011 "Uttar Pradesh" 95 861977 882 1007 55.68 254.736 4.5728109912956 4.84500212172986
"Aligarh" 2012 "Uttar Pradesh" 97 885295 884 1026 56.945 218.76 4.71992322258225 5.11991671602142
"Aligarh" 2013 "Uttar Pradesh" 97 908612 886 1044 58.21 233.832 4.83304822702891 8.22924427845464
"Aligarh" 2014 "Uttar Pradesh" 98 931930 888 1063 59.475 244.584 4.58131514457376 7.72936968525853
"Allahabad" 2001 "Uttar Pradesh" 56 1087233 879 901 46.38 126.768 3.38323435178141 7.45527090691952
"Allahabad" 2002 "Uttar Pradesh" 63 1122351 881 920 47.839 133.824 2.9028407278893 4.47355591626776
"Allahabad" 2003 "Uttar Pradesh" 40 1157469 883 938 49.298 141.288 2.32205225710309 3.1220870683739
"Allahabad" 2004 "Uttar Pradesh" 57 1192586 886 956 50.757 152.424 2.75766924093814 4.55781443988386
"Allahabad" 2005 "Uttar Pradesh" 40 1227704 888 975 52.216 157.464 2.70643064837245 3.72134214151212
"Allahabad" 2006 "Uttar Pradesh" 46 1262821 890 994 53.675 166.236 2.43479858405395 3.44929799407643
"Allahabad" 2007 "Uttar Pradesh" 63 1297939 892 1012 55.134 173.304 2.58868884177354 3.92829006059342
"Allahabad" 2008 "Uttar Pradesh" 68 1333057 894 1030 56.593 184.8 2.54058992142648 4.35275895629013
"Allahabad" 2009 "Uttar Pradesh" 70 1368174 897 1049 58.052 186.096 1.91798821867019 4.21957408107441
"Allahabad" 2010 "Uttar Pradesh" 84 1403292 899 1068 59.511 215.424 2.27593349208968 4.3122950376436
"Allahabad" 2011 "Uttar Pradesh" 75 1438410 901 1086 60.97 210.828 2.61991528604689 4.31614249047468
"Allahabad" 2012 "Uttar Pradesh" 63 1473528 903 1104 62.429 243.192 1.89546244421366 4.48318073761839
"Allahabad" 2013 "Uttar Pradesh" 66 1508646 905 1123 63.888 235.776 1.98965219100338 5.75866813005855
"Allahabad" 2014 "Uttar Pradesh" 53 1543763 908 1142 65.347 257.82 2.09556274114847 6.04855609376945
"Ambedkar Nagar" 2001 "Uttar Pradesh" 14 459174 978 863 45.3 90.684 2.26950242639412 4.68701588059654
"Ambedkar Nagar" 2002 "Uttar Pradesh" 16 473057 978 879 47.036 94.692 2.66830452049597 2.8623630310775
"Ambedkar Nagar" 2003 "Uttar Pradesh" 10 486941 978 894 48.772 98.88 0.572471286987012 1.14494257397402
"Ambedkar Nagar" 2004 "Uttar Pradesh" 4 500825 978 910 50.508 93.024 1.73569738444477 1.64187590420452
"Ambedkar Nagar" 2005 "Uttar Pradesh" 13 514708 978 926 52.244 107.808 2.16805368285434 2.02966727756576
"Ambedkar Nagar" 2006 "Uttar Pradesh" 15 528592 978 942 53.98 112.584 1.08863730279222 2.35871415604981
"Ambedkar Nagar" 2007 "Uttar Pradesh" 8 542474 978 957 55.716 123.588 1.15969851406937 1.73954777110406
"Ambedkar Nagar" 2008 "Uttar Pradesh" 13 556357 978 973 57.452 127.608 1.44739000493867 1.18422818585891
"Ambedkar Nagar" 2009 "Uttar Pradesh" 15 570241 978 989 59.188 127.872 1.55265104383436 0.948842304565441
"Ambedkar Nagar" 2010 "Uttar Pradesh" 18 584125 978 1004 60.924 141.6 1.56918094692012 1.18748828415577
"Ambedkar Nagar" 2011 "Uttar Pradesh" 16 598008 978 1020 62.66 139.308 1.75154135639363 2.16857501267782
"Ambedkar Nagar" 2012 "Uttar Pradesh" 9 611891 978 1036 64.396 147.78 1.4352879905353 1.27125507733127
"Ambedkar Nagar" 2013 "Uttar Pradesh" 17 625775 978 1051 66.132 151.464 1.2903891813771 0.927467224114793
"Ambedkar Nagar" 2014 "Uttar Pradesh" 11 639659 978 1067 67.868 150.564 0.951660032142318 0.872355029463791
"Auraiya" 2001 "Uttar Pradesh" 21 250801 856 586 59.13 136.116 4.49155206852922 3.05086555598211
"Auraiya" 2002 "Uttar Pradesh" 29 258042 857 596 60.278 141.348 4.67221492188641 3.0869991448178
"Auraiya" 2003 "Uttar Pradesh" 16 265281 858 606 61.426 146.772 2.62844685896493 1.64277928685308
"Auraiya" 2004 "Uttar Pradesh" 20 272522 858 615 62.574 128.22 3.80068250553929 1.85990846015753
"Auraiya" 2005 "Uttar Pradesh" 22 279762 859 625 63.722 158.244 4.37865318996827 2.46796816161848
"Auraiya" 2006 "Uttar Pradesh" 22 287001 860 635 64.87 164.316 4.38914814472276 2.27295171780286
"Auraiya" 2007 "Uttar Pradesh" 34 294242 861 645 66.018 168.78 2.85501537464361 2.23771475309904
"Auraiya" 2008 "Uttar Pradesh" 12 301482 862 655 67.166 194.436 1.97512407197656 0.455797862763821
"Auraiya" 2009 "Uttar Pradesh" 26 308723 862 664 68.314 181.332 3.06633300974795 1.64534941986475
"Auraiya" 2010 "Uttar Pradesh" 17 315962 863 674 69.462 194.352 2.06161580611387 0.883549631191658
"Auraiya" 2011 "Uttar Pradesh" 25 323203 864 684 70.61 245.556 2.10214237302879 1.15980268856761
"Auraiya" 2012 "Uttar Pradesh" 18 330444 865 694 71.758 219.876 1.71273324393817 2.21228044008681
"Auraiya" 2013 "Uttar Pradesh" 28 337683 866 704 72.906 195.54 1.89695328225611 1.75643822431121
"Auraiya" 2014 "Uttar Pradesh" 34 344924 866 713 74.054 187.404 2.35172218690796 1.79837578998844
"Azamgarh" 2001 "Uttar Pradesh" 32 896694 1020 972 43.4 82.428 3.04575021396395 3.68028150853978
"Azamgarh" 2002 "Uttar Pradesh" 23 922781 1020 989 45.151 85.86 2.77317802203952 2.97304670831264
"Azamgarh" 2003 "Uttar Pradesh" 16 948871 1020 1005 46.902 89.448 2.18870148029997 1.86900351126739
"Azamgarh" 2004 "Uttar Pradesh" 27 974959 1020 1022 48.653 86.412 2.66275354860324 2.32385764241737
"Azamgarh" 2005 "Uttar Pradesh" 27 1001046 1020 1038 50.404 97.056 2.001517340765 2.02534492815506
"Azamgarh" 2006 "Uttar Pradesh" 29 1027136 1020 1055 52.155 101.1 1.50107291532049 1.66525276543367
"Azamgarh" 2007 "Uttar Pradesh" 29 1053223 1019 1072 53.906 102.18 1.24668675679288 1.22359996500042
"Azamgarh" 2008 "Uttar Pradesh" 35 1079311 1019 1088 55.657 109.896 1.68165574916059 1.40895481686428
"Azamgarh" 2009 "Uttar Pradesh" 31 1105398 1019 1105 57.408 120.192 1.45398679824725 1.56583193657396
"Azamgarh" 2010 "Uttar Pradesh" 23 1131487 1019 1121 59.159 139.704 1.49726177244087 1.25505766219308
"Azamgarh" 2011 "Uttar Pradesh" 27 1157575 1019 1138 60.91 118.608 1.19204675077315 1.64719187379563
"Azamgarh" 2012 "Uttar Pradesh" 25 1183663 1019 1155 62.661 127.908 1.55738217283827 1.53604817047063
"Azamgarh" 2013 "Uttar Pradesh" 36 1209752 1019 1171 64.412 129.3 1.42798283564632 1.80597829214093
"Azamgarh" 2014 "Uttar Pradesh" 34 1235839 1019 1188 66.163 135.156 1.40560978866657 2.95591470263705
"Baghpat" 2001 "Uttar Pradesh" 20 247927 847 881 49.17 252.012 7.64610722935143 3.86600927326758
"Baghpat" 2002 "Uttar Pradesh" 17 253647 848 892 50.248 259.056 8.06998974686566 2.37852329381304
"Baghpat" 2003 "Uttar Pradesh" 10 259364 850 902 51.326 266.292 6.80351531756878 1.25991024399422
"Baghpat" 2004 "Uttar Pradesh" 16 265083 851 912 52.404 261.36 7.05937264601067 1.91018318656759
"Baghpat" 2005 "Uttar Pradesh" 10 270802 853 923 53.482 281.364 6.8159160673314 1.88874782588701
"Baghpat" 2006 "Uttar Pradesh" 12 276521 854 934 54.56 289.224 7.71380641431423 3.49151237700539
"Baghpat" 2007 "Uttar Pradesh" 22 282240 855 944 55.638 274.476 6.50322953590224 2.08745639424023
"Baghpat" 2008 "Uttar Pradesh" 15 287958 857 954 56.716 299.256 5.2394633201844 3.33420393102643
"Baghpat" 2009 "Uttar Pradesh" 16 293678 858 965 57.794 328.176 5.96561763373777 2.11936415935421
"Baghpat" 2010 "Uttar Pradesh" 14 299396 860 976 58.872 376.668 4.03593221496617 2.87172099911054
"Baghpat" 2011 "Uttar Pradesh" 17 305115 861 986 59.95 357.996 5.06504748865736 4.98830434488983
"Baghpat" 2012 "Uttar Pradesh" 19 310834 862 996 61.028 330.408 6.07055809675863 3.49057090563621
"Baghpat" 2013 "Uttar Pradesh" 12 316552 864 1007 62.106 330.48 5.9274020796928 3.97661152181922
"Baghpat" 2014 "Uttar Pradesh" 14 322272 865 1018 63.184 339.264 6.15764003623363 2.52240676183064
"Bahraich" 2001 "Uttar Pradesh" 19 502247 867 483 22.78 98.448 1.80590927111822 3.3178333120544
"Bahraich" 2002 "Uttar Pradesh" 16 528295 870 501 24.42 101.484 2.38507766055413 2.46592775074241
"Bahraich" 2003 "Uttar Pradesh" 7 554346 872 520 26.06 104.604 1.59535432819629 1.47862108466973
"Bahraich" 2004 "Uttar Pradesh" 16 580393 874 538 27.7 109.188 1.68542292692044 2.84649205435452
"Bahraich" 2005 "Uttar Pradesh" 21 606442 877 556 29.34 111.144 1.80255790176492 1.98281369194141
"Bahraich" 2006 "Uttar Pradesh" 24 632491 880 574 30.98 114.564 1.94325689856199 1.76975181833324
